# u[lambda]	v[lamda]	Re(V)[Jy]	Im(V)[Jy]	weight
-1.725785e+05	2.224517e+05	7.557558e-02	-4.268868e-03	1.148596e+05
2.389703e+05	3.230012e+03	9.385594e-02	7.936697e-03	1.173033e+05
6.301932e+05	-4.557550e+04	-2.504400e-03	6.993490e-03	1.010392e+05
4.777649e+05	-4.907635e+05	1.975394e-02	-5.182209e-03	1.038409e+05
-4.469979e+05	-8.205559e+05	3.649044e-03	-6.304908e-03	8.878988e+04
1.293237e+05	-3.228736e+05	5.460839e-02	1.277111e-02	1.125748e+05
1.351790e+05	-3.602103e+05	5.470341e-02	3.930461e-03	1.125792e+05
9.427309e+05	-1.069390e+06	1.657753e-03	-3.206676e-03	1.389932e+05
-2.357224e+05	-3.482900e+05	7.016142e-02	5.457748e-03	1.249385e+05
4.693858e+04	-9.513818e+05	5.166953e-03	2.145262e-03	1.222179e+05
3.087118e+05	-4.680278e+05	-3.351267e-03	-5.567681e-03	1.208165e+05
9.993808e+05	-2.541958e+05	2.585455e-03	-1.379609e-02	9.351679e+04
1.513357e+05	-2.855878e+05	6.292178e-02	1.542379e-02	1.186211e+05
3.152447e+05	-3.803704e+05	-1.049935e-03	5.020306e-04	1.169845e+05
1.339022e+05	-4.784768e+05	8.455123e-03	6.625326e-03	1.162221e+05
-1.417013e+04	-5.062572e+05	8.638158e-03	-4.376559e-03	1.193962e+05
6.345795e+05	-5.617683e+05	1.695700e-02	-8.894257e-03	1.049558e+05
2.372109e+05	-3.998465e+05	1.064707e-02	7.557435e-03	1.093211e+05
2.122473e+05	-4.181756e+05	1.341046e-02	4.103543e-03	1.131393e+05
4.291276e+05	-6.616532e+05	1.786169e-02	9.912126e-03	1.108052e+05
5.446977e+05	-4.161485e+05	1.002343e-02	1.696445e-03	1.077572e+05
2.248129e+05	-4.392272e+05	7.972281e-03	1.028493e-02	1.125049e+05
-3.906103e+05	1.135239e+05	4.762639e-02	-2.561894e-03	1.250798e+05
-1.384052e+05	-1.186808e+05	1.235485e-01	-4.410201e-03	1.266451e+05
2.924789e+05	-1.541591e+05	6.736382e-02	5.510773e-03	1.254437e+05
2.078729e+05	-2.605455e+05	6.498356e-02	1.191503e-03	1.054145e+05
9.784592e+04	-5.552964e+05	-2.897977e-03	-7.170423e-03	1.185623e+05
2.741400e+05	-3.923506e+05	1.439684e-02	1.321690e-03	1.054961e+05
-2.279334e+05	-5.946717e+05	2.023865e-03	-2.204170e-03	1.217810e+05
3.768186e+05	-4.608321e+05	8.368725e-03	-1.152005e-02	1.239342e+05
2.046047e+05	-3.988785e+05	2.436502e-02	-5.301938e-03	1.189379e+05
-6.740038e+05	-8.822647e+04	-1.203091e-02	-9.892778e-04	1.026561e+05
